Package	Version	Architecture	Status
gzip	1.12-1	amd64	install ok installed
hdmi2usb-fx2-firmware	0.0.0~git20151225-3	all	install ok installed
hicolor-icon-theme	0.17-2	all	install ok installed
hostname	3.23+nmu1	amd64	install ok installed
htop	3.2.2-2	amd64	install ok installed
i965-va-driver	2.4.1+dfsg1-1	amd64	install ok installed
ifupdown	0.8.41	amd64	install ok installed
indi-dsi	0.4+20221223123028-1	amd64	install ok installed
init	1.65.2+deb12u1	amd64	install ok installed
init-system-helpers	1.65.2+deb12u1	all	install ok installed
initramfs-tools	0.142+deb12u3	all	install ok installed
initramfs-tools-core	0.142+deb12u3	all	install ok installed
intel-media-va-driver	23.1.1+dfsg1-1	amd64	install ok installed
intel-microcode	3.20251111.1~deb12u1	amd64	install ok installed
ipp-usb	0.9.23-1+b4	amd64	install ok installed
iproute2	6.1.0-3	amd64	install ok installed
iptables	1.8.9-2	amd64	install ok installed
iputils-ping	3:20221126-1+deb12u1	amd64	install ok installed
isc-dhcp-client	4.4.3-P1-2	amd64	install ok installed
isc-dhcp-common	4.4.3-P1-2	amd64	install ok installed
iso-codes	4.15.0-1	all	install ok installed
iucode-tool	2.3.1-3	amd64	install ok installed
ixo-usb-jtag	0.0.1-2	all	install ok installed
jq	1.6-2.1+deb12u1	amd64	install ok installed
keyboard-configuration	1.221	all	install ok installed
klibc-utils	2.0.12-1	amd64	install ok installed
kmod	30+20221128-1	amd64	install ok installed
less	590-2.1~deb12u2	amd64	install ok installed
libaacs0	0.11.1-2	amd64	install ok installed
libabsl20220623	20220623.1-1+deb12u2	amd64	install ok installed
libacl1	2.3.1-3	amd64	install ok installed
libaom3	3.6.0-1+deb12u2	amd64	install ok installed
libapparmor1	3.0.8-3	amd64	install ok installed
libapt-pkg6.0	2.6.1	amd64	install ok installed
libargon2-1	0~20171227-0.3+deb12u1	amd64	install ok installed
libasound2	1.2.8-1+b1	amd64	install ok installed
libasound2-data	1.2.8-1	all	install ok installed
libasound2-plugins	1.2.7.1-1	amd64	install ok installed
libassuan0	2.5.5-5	amd64	install ok installed
libasyncns0	0.8-6+b3	amd64	install ok installed
libatasmart4	0.19-5	amd64	install ok installed
libatk-bridge2.0-0	2.46.0-5	amd64	install ok installed
libatk1.0-0	2.46.0-5	amd64	install ok installed
libatkmm-1.6-1v5	2.28.3-1	amd64	install ok installed
libatspi2.0-0	2.46.0-5	amd64	install ok installed
libattr1	1:2.5.1-4	amd64	install ok installed
libaudit-common	1:3.0.9-1	all	install ok installed
libaudit1	1:3.0.9-1	amd64	install ok installed
libavahi-client3	0.8-10+deb12u1	amd64	install ok installed
libavahi-common-data	0.8-10+deb12u1	amd64	install ok installed
libavahi-common3	0.8-10+deb12u1	amd64	install ok installed
libavahi-core7	0.8-10+deb12u1	amd64	install ok installed
libavcodec59	7:5.1.8-0+deb12u1	amd64	install ok installed
libavif15	0.11.1-1+deb12u1	amd64	install ok installed
